username,tweet_date,tweet_text,translated,tweet_link,media_exists
@s4r4h_rz,"Jun 28, 2023 · 10:08 PM UTC","À l'instant à Bezons
#emeutes #JusticePourNael twitter.com/i/web/status/167…","Right now in Bezons
#EMEUTS #JustiPournael Twitter.com/i/web/status/167…",https://twitter.com/s4r4h_rz/status/1674178072348614658?s=20,TRUE
@KMLSO69,"Jun 28, 2023 · 10:53 PM UTC",Les vendeurs de mortiers depuis hier #emeutes #Nanterre,Mortar sellers since yesterday #EMEUTES #NANTERE,https://twitter.com/KMLSO69/status/1674189254564495360?s=20,TRUE
@Senzoo92,"Jun 28, 2023 · 11:16 PM UTC","Burn-out 🔥 

#JusticePourNael #Nael #emeutes @AlertesInfos","Burn-out 🔥 

#JusticePourNael #Nael #emeutes @AlertesInfos",https://twitter.com/Senzoo92/status/1674194979256713216?s=20,TRUE
@JeanMessiha,"Jun 28, 2023 · 11:15 PM UTC","Où diable sont passés les blindés de la gendarmerie et de la police que Macron n’avait pas hésité à envoyer contre les #GiletsJaunes ?

Pourquoi ce même Macron ne les envoie pas pour écraser les #emeutes en cours dans les zones de non France ?

Pour ne pas stigmatiser et attiser la haine ?

Clichy
Trappes
#emeutes
#Lola
Grigny
Par Allah
#ViolencesPolicieres
#Annecy
#LaPoliceMent
Europe 1
#racaille
Marine Tondelier
#LaPoliceTue
Ramadan
#SoutienFDO
Omar Sy 
#Toulouse
Mirail
Nadine Morano 
#JusticepourNahel","Where did the devil pass the armored vehicles of the gendarmerie and the police that Macron had not hesitated to send against the #giletsjaunes?

Why does this same Macron do not send them to crush the #Emeutes in progress in the areas of Non France?

So as not to stigmatize and stir up hatred?

Clichy
Hatching
#emeuts
#Lola
Grigny
By Allah
#ViOLESPOLIQUES
#Annecy
#Lapolicement
Europe 1
#racaille
Navy
#Lapolitulation
Ramadan
#Soutienfdo
Omar Sy
#Toulouse
Mirail
Nadine Morano
#Justicepournahel",https://twitter.com/JeanMessiha/status/1674194734724661249?s=20,FALSE
@tom_verdure,"Jun 28, 2023 · 11:13 PM UTC",#emeutes #JusticePourNael #Nanterre,#emeuts #justicepournael #nenterre,https://twitter.com/tom_verdure/status/1674194455266467840?s=20,TRUE
@Le_tounsi93,"Jun 28, 2023 · 11:08 PM UTC",Wsh on est dans walking dead la ? #emeutes,WSH we're in Walking Dead la? #emeuts,https://twitter.com/Le_tounsi93/status/1674193006688083969?s=20,TRUE
@_jsuisqlf,"Jun 28, 2023 · 10:58 PM UTC",c’est pas des lol à Trappes #emeutes,it's not lol to hatch #emeuts,https://twitter.com/_jsuisqlf/status/1674190575648620544?s=20,TRUE
@_Visdooon,"Jun 28, 2023 · 11:27 PM UTC","Tweet risqué : Certains s’en branle de la mort de Naël et ont juste trouvé un prétexte pour foutre le bordel 
#emeutes","Risky tweet: some of them jerk off from Naël's death and just found a pretext to fuck the brothel
#emeuts",https://twitter.com/_Visdooon/status/1674197981296308235?s=20,TRUE
@LoqmanSoma,"Jun 28, 2023 · 11:15 PM UTC",J’suis mort ils sont rentré dans une mairie et ils ont prit des casques de CRS  a Lille djdjdjdkd’kdkdkkdd #emeutes #Nael #Nanterre #Lille,I died they returned to a town hall and they took CRS helmets in Lille Djdjdjdkd’kkdkddd #emeuts #nael #nanterre #lille,https://twitter.com/LoqmanSoma/status/1674194847660376064?s=20,TRUE
@Mediavenir,"Jun 28, 2023 · 11:57 PM UTC",🇫🇷 FLASH - Des caméras de surveillance se font exploser au fusil à pompe à Vigneux-sur-Seine. (témoins) #Nahel #emeutes,🇫🇷 Flash-Surveillance cameras are exploded with a vineyard-sur-Seine shotgun. (Witnesses) #Nahel #emeuts,https://twitter.com/Mediavenir/status/1674205295227334656?s=20,TRUE
@dragnir93455,"Jun 28, 2023 · 11:41 PM UTC",#sarcelles #Nanterre #Nahel #emeutes 🤣🤣🤣🔥🔥🔥,#sarcelles #nenterre #Nahel #emeuts 🤣🤣🤣🔥🔥🔥,https://twitter.com/dragnir93455/status/1674201322625679360?s=20,TRUE
@dehorstous,"Jun 28, 2023 · 10:30 PM UTC","Commissariat de #Montreuil 

#emeutes #JusticePourNael #Nanterre","Commissariat of #Montreuil

#emeuts #justicepournael #nenterre",https://twitter.com/dehorstous/status/1674183490219171843?s=20,TRUE
@lolalal99130367,"Jun 28, 2023 · 11:40 PM UTC","#Nanterre #emeutes 

Personne : 

Toutes les banlieues de France ce soir :","#Nenterre #emeuts

Person :

All the suburbs of France this evening:",https://twitter.com/lolalal99130367/status/1674201014830759936?s=20,TRUE
@Liam75v,"Jun 28, 2023 · 11:53 PM UTC",Ils ont pas compris ou quoi ? #emeutes,Didn't they understand or what? #emeuts,https://twitter.com/Liam75v/status/1674204340540637187?s=20,TRUE
@Deborah_Levy_LR,"Jun 28, 2023 · 11:16 PM UTC","Choix troublant d’@EmmanuelMacron d’aller ce soir au concert d'Elton John à l'Accor Arena pendant les émeutes. Un véritable manque de sens des priorités. 
C'est dans ces moments critiques que la véritable grandeur d'un leader se mesure, cette déconnexion est inquiétante. #emeutes","Troubling choice of@emmanuelmacron to go this evening to the concert of Elton John at Accor Arena during the riots. A real lack of sense of priorities.
It is in these critical moments that the true greatness of a leader is measured, this disconnection is disturbing. #emeuts",https://twitter.com/Deborah_Levy_LR/status/1674195166700134402?s=20,TRUE
@CerfiaFR,"Jun 28, 2023 · 11:50 PM UTC",🚨🇫🇷 FLASH | Le commissariat de #Gennevilliers est visé par des tirs de mortiers et un incendie. #Nahel #émeutes,🚨🇫🇷 Flash | The police station of #Gennevilliers is targeted by mortar fire and a fire. #Nahel #riots,https://twitter.com/CerfiaFR/status/1674203655166148608?s=20,TRUE
@CerfiaFR,"Jun 28, 2023 · 11:45 PM UTC",🚨🇫🇷 FLASH | Des individus ont profité du chaos causé par les émeutes pour saccager le Aldi de Aulnay. #emeutes #Nahel,🚨🇫🇷 Flash | Individuals took advantage of the chaos caused by the riots to ransack the Aldi of Aulnay. #emeuts #Nahel,https://twitter.com/CerfiaFR/status/1674202266776088580?s=20,TRUE
@wayzgoat,"Jun 28, 2023 · 10:38 PM UTC",les #emeutes a woippy,#emeuts a woippy,https://twitter.com/wayzgoat/status/1674185507515904002?s=20,TRUE
@6ar6enoire,"Jun 28, 2023 · 11:55 PM UTC",On tient une des vidéos de la soirée 😹😹😹😹 #Nanterre #LaFleche  #emeutes,We keep one of the videos of the evening 😹😹😹😹 #nanterre #lafleche #emeutes,https://twitter.com/6ar6enoire/status/1674204993031913477?s=20,TRUE
@bilelcapra,"Jun 28, 2023 · 11:40 PM UTC",hardcore vitry wshh #emeutes,hardcore vitry wshh #emeutes,https://twitter.com/bilelcapra/status/1674201020837117955?s=20,TRUE
@AnonymeCitoyen,"Jun 28, 2023 · 11:48 PM UTC",Les caméras de surveillance se font exploser au fusil à pompe à Vigneux-sur-Seine (91) #Nanterre #emeutes #Nahel,The surveillance cameras are exploded with a pump rifle in vineyards-sur-seine (91) #nanterre #emeutes #nahel,https://twitter.com/AnonymeCitoyen/status/1674203039677272066?s=20,TRUE
@n2iixv,"Jun 28, 2023 · 11:46 PM UTC",Ce soir c’est vraiment quelque choses à sarcelles ! Le commissariat #emeutes,Tonight is really something in Sarcelles! The police station #emeuts,https://twitter.com/n2iixv/status/1674202527066103816?s=20,TRUE
@GamraRaouf,"Jun 28, 2023 · 11:20 PM UTC",3 buses on fire #emeutes #Nanterre,3 nozzles on fire #emeuts #nenterre,https://twitter.com/GamraRaouf/status/1674196038087847937?s=20,TRUE
@tanguy_france,"Jun 28, 2023 · 11:44 PM UTC","Nous y voilà. Ils sortent les armes. L’État va-t-il les laisser faire la loi ? 

#emeutes #Nanterre twitter.com/LEPATRIOTE_13/st…","Here we are. They take out arms. Will the state let them make the law?

#emeuts #nanterre Twitter.com/lepatriot_13/st…",https://twitter.com/tanguy_france/status/1674202107384147970?s=20,FALSE
@ibrah667,"Jun 28, 2023 · 10:45 PM UTC","Evry 🔥 91
 #Nanterre #Nahel #emeutes","Evry 🔥 91
 #Ninterre #Nahel #emeuts",https://twitter.com/ibrah667/status/1674187254908977152?s=20,TRUE
@nassydi93,"Jun 28, 2023 · 11:41 PM UTC",Pont Blanc #aubervilliers #emeutes #incendie,Bridge white #Aubervilliers #emeuts #inte,https://twitter.com/nassydi93/status/1674201335976148993?s=20,TRUE
@Emad_Vss,"Jun 28, 2023 · 10:58 PM UTC",Vitry 94 #emeutes twitter.com/i/web/status/167…,Vitry 94 #emeuts Twitter.com/i/web/status/167…,https://twitter.com/Emad_Vss/status/1674190439753170949?s=20,TRUE
@Cqrbozo,"Jun 28, 2023 · 11:59 PM UTC",Boissiere mtn #emeutes,Boissiere Mtn #emeuts,https://twitter.com/Cqrbozo/status/1674206019088465920?s=20,TRUE
@daymokh,"Jun 28, 2023 · 9:04 PM UTC",[THREAD] Toutes les répercussions dans plusieurs villes qu’il y a eu à cause du meurtre de Naël à #Nanterre,[Thread] All the repercussions in several cities that have been because of the murder of Naël in #NAnterre,https://twitter.com/daymokh/status/1674203164235423745?s=20,TRUE
@DalbouMax,"Jun 28, 2023 · 10:53 PM UTC","#emeutes #lehavre
Les microbes","#lehavre
The microbes",https://twitter.com/DalbouMax/status/1674189239527899147?s=20,TRUE
@CerfiaFR,"Jun 28, 2023 · 11:53 PM UTC","🚨🇫🇷 FLASH | Plusieurs cocktails Molotov sont lancés sur les CRS à #Nanterre qui tirent au LBD en réponse. #émeutes

📹 @ClementLanot","🚨🇫🇷 Flash | Several Molotov cocktails are launched on the CRS in #Nanterre who shoot LBD in response. #riots

📹 @Cllementlanot",https://twitter.com/CerfiaFR/status/1674204485990641664?s=20,TRUE
@78800hls,"Jun 28, 2023 · 10:21 PM UTC",#emeutes #Nael #Nanterre 78800 Houilles twitter.com/i/web/status/167…,#emeuts #Nael #nenterre 78800 Houilles Twitter.com/i/web/status/167…,https://twitter.com/78800hls/status/1674181151299182592?s=20,TRUE
@MethMomo,"Jun 28, 2023 · 11:41 PM UTC","A l’instant Trappes 
#emeutes #JusticePourNael","Instant Trappes
#emeuts #justicepournael",https://twitter.com/MethMomo/status/1674201267910979585?s=20,TRUE
@salimndaaa,"Jun 28, 2023 · 10:31 PM UTC",Trappes #emeutes #JusticePourNael,Trappes #emeuts #justicepournael,https://twitter.com/salimndaaa/status/1674183814916997120?s=20,TRUE
@flexxxcouple,"Jun 28, 2023 · 10:27 PM UTC",#emeutes #tranny 🤩 join FOR FREE -> onlyfans.com/flexxxcouple,#emeutes #tranny 🤩 join FOR FREE -> onlyfans.com/flexxxcouple,https://twitter.com/flexxxcouple/status/1674182784179486726?s=20,FALSE
@salimndaaa,"Jun 28, 2023 · 10:30 PM UTC",Trappes #JusticePourNael #emeutes,Trappes #justicepournael #emeuts,https://twitter.com/salimndaaa/status/1674183544963227650?s=20,TRUE
@bilelcapra,"Jun 28, 2023 · 11:51 PM UTC",Vitry sur haine #emeutes,Vitry Sur Haine #emeutes,https://twitter.com/bilelcapra/status/1674203949337853954?s=20,TRUE
@AnonymeCitoyen,"Jun 28, 2023 · 11:39 PM UTC",Une sirène d'alerte à la population a retenti à Antony (92) #Nanterre #emeutes #Nahel,An alert to the population alerted to Antony (92) #Ninterre #emeuts #Nahel,https://twitter.com/AnonymeCitoyen/status/1674200793065443329?s=20,TRUE
@Solitair94,"Jun 28, 2023 · 11:51 PM UTC","Pour suivre les News sur vitry 

👻 s0litaire94 

#Vitry #94400 #JusticePourNael #emeutes #Nael #Barbusse #emeutes #Nael #Vitry #FiveNightsAtFreddys #Tornado","To follow the news on Vitry

👻 S0LITARY94

#Vitry #94400 #justicepournael #emeuts #nael #barbusse #emeuts #nael #vitry #fivenightsatfredys #tornado",https://twitter.com/Solitair94/status/1674203797571207169?s=20,TRUE
@BasedPoland2,"Jun 28, 2023 · 11:22 PM UTC",🇫🇷 Rioters entered a police station and set fire to police vehicles. #Nanterre #emeutes #France,🇫🇷 Rioters entered a police station and set fire to police vehicles. #Nanterre #emeutes #France,https://twitter.com/BasedPoland2/status/1674196482310778884?s=20,TRUE
@Pr1cedechezloub,"Jun 28, 2023 · 11:07 PM UTC","Oui J'ACCUSE! 
#emeutes","Yes I accuse!
#emeuts",https://twitter.com/Pr1cedechezloub/status/1674192735656370184?s=20,FALSE
@fififleuur,"Jun 28, 2023 · 11:46 PM UTC",Nos martyrs 🇫🇷#emeutes,Nos martyrs 🇫🇷#emeutes,https://twitter.com/fififleuur/status/1674202625032560641?s=20,FALSE
@frenchplugcoff,"Jun 28, 2023 · 8:44 PM UTC","#Nahel #Nanterre #Emeutes #ViolencesPolicieres #LGBT #RefusDobtemperer #LaPoliceTue 
Snapchat: frenchy420f 
Juste en cash main propre","#NaHel #nenterre #emeuts #violncespolicieres #Lgbt #refusdobtemperer #LapolituleUte
Snapchat: Frenchy420f
Just in clean hitch",https://twitter.com/frenchplugcoff/status/1674156822356279298?s=20,TRUE
@mvalet_officiel,"Jun 28, 2023 · 11:01 PM UTC","Courage à nos anges gardiens de la #République qui font face aux émeutiers à #Nanterre et partout en #France.
Les appels d’élus de l’extrême-gauche à continuer les violences ont été entendus.
Des #émeutes, des feux, des guet-apens qui visent à faire tomber les #policiers.
#Nahel","Courage to our guardian angels of the #Republic who face the rioters in #NanTerre and everywhere in #France.
Calls by far-left elected officials to continue the violence have been heard.
#Riots, fires, ambush which aim to bring down #Policiers.
#Nahel",https://twitter.com/mvalet_officiel/status/1674191252739203074?s=20,TRUE
@DANIWAY60528284,"Jun 28, 2023 · 11:52 PM UTC",😤😤😭😭😭 retweet’s if you like this #emeutes #مسلم_يقبل_الأيادي #Ashawo #EidMubarak #Essence #davido #Anita,😤😤😭😭😭 Retweet's if you like this #meuts #Muslim_Asali #ashawo #EIDMUBARAK #ASSANCE #Davido #anita,https://twitter.com/DANIWAY60528284/status/1674204160525205505?s=20,TRUE
@geenamoore,"Jun 28, 2023 · 11:57 PM UTC",How to cook 4 bags of rice to perfection piped.video/kUCeI7tnvF8 #gistlover #emeutes #jollofrice #nigerianjollof #ghanajollof,How to cook 4 bags of rice to perfection piped.video/kUCeI7tnvF8 #gistlover #emeutes #jollofrice #nigerianjollof #ghanajollof,https://twitter.com/geenamoore/status/1674205513083506689?s=20,TRUE
@yungmerri_,"Jun 28, 2023 · 11:57 PM UTC",NEW SONGGGG PREVIEWW #FiveNightsAtFreddys #emeutes #GlazersOut #GlazersOut #gistlover,NEW SONGGGG PREVIEWW #FiveNightsAtFreddys #emeutes #GlazersOut #GlazersOut #gistlover,https://twitter.com/yungmerri_/status/1674205318983606273?s=20,TRUE
@Asdepique9351,"Jun 28, 2023 · 11:44 PM UTC",HAPPY BIRTHDAY TO YOU @PoliceNationale #emeutes #JusticePourNael,HAPPY BIRTHDAY TO YOU @PoliceNationale #emeutes #JusticePourNael,https://twitter.com/Asdepique9351/status/1674202158449713152?s=20,FALSE
@JessicaSidgwic1,"Jun 28, 2023 · 9:08 PM UTC","#Toulouse, Quartier de la #Reynerie le 28 juin 2023 by Jessica Sidgwick #Emeutes #Nanterre #Nael #DarmaninDemission #ToutCramer #PoliceNationale #Policedelahonte #LaPoliceTue #LaPoliceMent #Mirail","#Toulouse, Quartier de la #reynerie on June 28, 2023 by Jessica Sidgwick #emeuts #nanterre #nael #darmanindession #wholecramer #policenationale #policedelahonte #lapolicetation #lapolicement #Mirail",https://twitter.com/JessicaSidgwic1/status/1674162832806498305?s=20,TRUE
@mvalet_officiel,"Jun 28, 2023 · 11:30 PM UTC","Des #emeutes graves ont eu lieu au commissariat de #DammarielesLys (77)!
Des émeutiers ont réussi à pénétrer à l’intérieur et ont brûlé des véhicules de #Police.
A cette heure, de nombreux guets-apens sont lancés à #Nanterre et partout en #France.
Soutien aux collègues.
#Nahel","Grave #Emeutes took place at the police station in #DammarielesLys (77)!
Rioters have managed to enter the interior and burned #police vehicles.
At this hour, many watches are launched in #NanTerre and everywhere in #France.
Support for colleagues.
#Nahel",https://twitter.com/mvalet_officiel/status/1674198585993224192?s=20,TRUE
@mixter_f,"Jun 28, 2023 · 11:47 PM UTC",American Nightmare bonsoir #emeutes,American Nightmare Good evening #EMEUTS,https://twitter.com/mixter_f/status/1674202777327742976?s=20,FALSE
@ferozwala,"Jun 28, 2023 · 11:34 PM UTC","The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #Emeutes 
#Nahel @AnonymeCitoyen #France","The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #Emeutes 
#Nahel @AnonymeCitoyen #France",https://twitter.com/ferozwala/status/1674199708573782016?s=20,TRUE
@ferozwala,"Jun 28, 2023 · 11:37 PM UTC",The Dammarie-les-Lys police station (77) stormed and police vehicles were set on fire #Nanterre #Nahel #emeutes @AnonymeCitoyen #France,The Dammarie-les-Lys Police Station (77) Stormed and Police Vehicles WERE SET ON FIRE #NAnterre #Nahel #emeuts @anonymecitoyen #France,https://twitter.com/ferozwala/status/1674200387623198720?s=20,TRUE
@LaureLavalette,"Jun 28, 2023 · 11:45 PM UTC","Cette nuit, les criminels se déchaînent contre les services publics, la police, les transports, les institutions. 
Ils attaquent la France et les Français, abandonnés par Macron et son gouvernement.

Soutien total aux forces de sécurité et de secours. #Nanterre #émeutes","This night, criminals are unleashed against public services, police, transport, institutions.
They attack France and the French, abandoned by Macron and his government.

Total support for security and rescue forces. #Nanterre #riots",https://twitter.com/LaureLavalette/status/1674202384866631681?s=20,FALSE
@PasaranTv,"Jun 28, 2023 · 11:08 PM UTC","Eat the Rich and ACAB 

#emeutes #Nael #Nanterre","Eat the Rich and ACAB 

#emeutes #Nael #Nanterre",https://twitter.com/PasaranTv/status/1674192973561487360?s=20,FALSE
@NMeizonnet,"Jun 28, 2023 · 10:52 PM UTC","Des #émeutes violentes dans de nombreuses villes de France aux cris de “Allah Akbar""!
À travers toute cette violence, ce sont nos institutions et notre pays qui sont attaqués.
Qui peut tolérer ça ?
Tout mon soutien aux forces de l’ordre.
#Nanterre #Nahel","Violent riots in many cities in France with “Allah Akbar” cries!
Through all this violence, our institutions and our country are attacked.
Who can tolerate this?
All my support for the police.
#Nanterre #Nahel",https://twitter.com/NMeizonnet/status/1674188952679456770?s=20,TRUE
@NoosKol,"Jun 28, 2023 · 10:22 PM UTC",on revit 2005 #emeutes,on revit 2005 #emeutes,https://twitter.com/NoosKol/status/1674181529080135680?s=20,FALSE
@Emma_oluwa06,"Jun 28, 2023 · 11:20 PM UTC","I'm really optimistic about having 11k followers, Here's my Profile, I share vital informations about market trends and technologies. 

Kindly follow me, I'll follow back
twitter.com/Emma_oluwa06?t=U…

Anita Victoria Ivanka #secretinvasion Davido Israel Elon musk Ethereum Anna #emeutes","I'm really optimistic about having 11k followers, Here's my Profile, I share vital informations about market trends and technologies. 

Kindly follow me, I'll follow back
twitter.com/Emma_oluwa06?t=U…

Anita Victoria Ivanka #secretinvasion Davido Israel Elon musk Ethereum Anna #emeutes",https://twitter.com/Emma_oluwa06/status/1674196201984385025?s=20,FALSE
@chaotic_dean,"Jun 28, 2023 · 10:12 PM UTC","JUSTICE POUR NAHEL

#Nael #emeutes #JusticePourNael","Justice for Nahel

#Nael #emeuts #justicepournael",https://twitter.com/chaotic_dean/status/1674178954922541057?s=20,FALSE
@cryptfr,"Jun 28, 2023 · 11:20 PM UTC","J'allume le live Facebook de Brut, on entend des ""mort aux juifs"" #nanterre #emeutes (cc @Bruno_Attal_ @DamienRieu)","I turn on the Brut Facebook live, we hear ""deaths at the Jews"" #Nenterre #emeuts (cc @bruno_attal_ @damienrieu)",https://twitter.com/cryptfr/status/1674196141578022912?s=20,FALSE
@PaulMelun,"Jun 28, 2023 · 11:21 PM UTC","Ce soir en ouvrant la fenêtre dans les Hauts-de-Seine, on entend des explosions de mortiers, on voit des colonnes de fumée tandis que les sirènes de police retentissent. 

Ça n’est pas l’idée que je me fais d’un pays en paix. 

Courage aux pompiers et aux FDO. #emeutes","Tonight opening the window in the Hauts-de-Seine, we hear explosions of mortars, we see columns of smoke while the police sirens sound.

It’s not the idea I have of a country in peace.

Courage to firefighters and FDO. #emeuts",https://twitter.com/PaulMelun/status/1674196257152069633?s=20,FALSE
@Nicomay,"Jun 28, 2023 · 11:17 PM UTC","La révolte des cités continue de toucher #Montreuil. 

La deter’ et l’organisation sont impressionnantes ! Pour l’instant, la #Police (en petit comité) est tenue à distance. 

Le mot d’ordre « #JusticepourNahel » raisonne un peu partout… #Nahel #LaPoliceTueToujours #emeutes","The revolt of the cities continues to touch #Montreuil.

Deter ’and the organization are impressive! For the moment, the #police (in small committee) is held at a distance.

The watchword ""#justicepournahel"" reasons everywhere ... #Nahel #lapolitutetoujours #emeutes",https://twitter.com/Nicomay/status/1674195354105815040?s=20,TRUE
@antoineelieGZ,"Jun 28, 2023 · 11:30 PM UTC","“Il est plus que temps d’agir contre ces ennemis qui, depuis notre propre sol, attaquent la #France” Éric #Zemmour

👉Ce soir les émeutiers ne rendent pas hommage à #Nahel. Ils ont trouvé un prétexte pour détruire la France !

#Nanterre #emeutes twitter.com/i/web/status/167…","""It is more than time to act against these enemies who, from our own soil, attack #France"" Éric #ZEMMOUR

👉This evening the rioters do not pay tribute to #Nahel. They found a pretext to destroy France!

#Nenterre #emeuts Twitter.com/i/web/status/167…",https://twitter.com/antoineelieGZ/status/1674198617182072836?s=20,FALSE
@info_Paris_IDF,"Jun 28, 2023 · 10:58 PM UTC","🔴 ALERTE INFO - Mort de #Nahel à #Nanterre : Un tramway de la ligne #T2 est en feu à #Clamart. Plusieurs dizaine de personnes empêchent l’intervention des pompiers.

👉 Les #tensions sont en cours un peu partout en #IledeFrance. (🎥 Snapchat) #HautsdeSeine #emeutes","🔴 Info alert - Death from #Nahel to #NanTerre: A tram of line #T2 is on fire at #clamart. Several dozen people prevent the intervention of firefighters.

👉 #Thensions are underway everywhere in #ledefrance. (🎥 Snapchat) #hautsdeseine #emeuts",https://twitter.com/info_Paris_IDF/status/1674190622607958018?s=20,TRUE
@ScpnCommissaire,"Jun 28, 2023 · 11:13 PM UTC","Soutien à tous les policiers et gendarmes qui travaillent cette nuit pour préserver l’ordre républicain. 
#emeutes #Nahel #Nanterre","Support for all the police and gendarmes working last night to preserve the republican order.
#emeuts #Nahel #nanterre",https://twitter.com/ScpnCommissaire/status/1674194285476950023?s=20,FALSE
@uwerott,"Jun 28, 2023 · 10:17 PM UTC","New Release
Arrival in Happiness, Kay Uwe Rott 
open.spotify.com/album/4j8ik…

#NewProfilePic #TrendingNow #TikTok #MH370 #digitalart #emeutes #ticketek #FirstDates #แผ่นดินไหว #เจมีไนน์โฟร์ท #SecretInvasion #Nael #Nahel #zib2 #NewMusicAlert #LoveIsland #TBSチャンネル1 #hbogopremium","New release
Arrival in Happy, Kay Uwe Rott
Open.spotify.com/album/4j8ik ......

#NewProfilepic #TrendingNow #TIKTOK #MH370 #Digitalart #meutes #Tiquetek #firstDates #Seecretinvation #Nael #Nahel #Zib2 #Newmusicalrt #Loveisland #TBS",https://twitter.com/uwerott/status/1674180329127419905?s=20,FALSE
@Wassmanim,"Jun 28, 2023 · 11:35 PM UTC","Translated from French
The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #emeutes #Nahel","Translated from French
The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #emeutes #Nahel",https://twitter.com/Wassmanim/status/1674199758678654977?s=20,TRUE
@BenRoques,"Jun 28, 2023 · 11:26 PM UTC",Kingdom Rush by @ironhidegames in real life... #Nanterre #Nael #emeutes #riot #Paris,Kingdom Rush by @ironhidegames in real life... #Nanterre #Nael #emeutes #riot #Paris,https://twitter.com/BenRoques/status/1674197640030945283?s=20,TRUE
@ChimChim_Flores,"Jun 28, 2023 · 11:10 PM UTC","I could use your help reaching my fundraising goal. Every single share and donation makes a difference. gofund.me/cbeb083e 
#DearM #pleasehelpme #RUNext #emeutes #HopeStreet #JHOPE  #ENGvAUS #AugustD #JUNGWON #SOJUNGHWAN #sorry","I could use your help reaching my fundraising goal. Every single share and donation makes a difference. gofund.me/cbeb083e 
#DearM #pleasehelpme #RUNext #emeutes #HopeStreet #JHOPE  #ENGvAUS #AugustD #JUNGWON #SOJUNGHWAN #sorry",https://twitter.com/ChimChim_Flores/status/1674193610261123072?s=20,FALSE
@YsfXayb,"Jun 29, 2023 · 11:49 PM UTC",En vrai y joue bien RP on peut pas lui reprocher  #emeutes,In real life plays Rp well we can not blame him #emeuts,https://twitter.com/YsfXayb/status/1674565799606992896?s=20,TRUE
